killandfight_1,killandfight_2,killandfight_3,killandfight_4,killandfight_5,killandfight_6,choice,certainty_trolley,RAT1,RAT1_time_First Click,RAT1_time_Last Click,RAT1_time_Page Submit,RAT1_time_Click Count,RAT2,RAT2_time_First Click,RAT2_time_Last Click,RAT2_time_Page Submit,RAT2_time_Click Count,RAT3,RAT3_time_First Click,RAT3_time_Last Click,RAT3_time_Page Submit,RAT3_time_Click Count,RAT4,RAT4_time_First Click,RAT4_time_Last Click,RAT4_time_Page Submit,RAT4_time_Click Count,RAT5,RAT5_time_First Click,RAT5_time_Last Click,RAT5_time_Page Submit,RAT5_time_Click Count,RAT6,RAT6_time_First Click,RAT6_time_Last Click,RAT6_time_Page Submit,RAT6_time_Click Count,RAT7,RAT7_time_First Click,RAT7_time_Last Click,RAT7_time_Page Submit,RAT7_time_Click Count,RAT8,RAT8_time_First Click,RAT8_time_Last Click,RAT8_time_Page Submit,RAT8_time_Click Count,RAT9,RAT9_time_First Click,RAT9_time_Last Click,RAT9_time_Page Submit,RAT9_time_Click Count,RAT10,RAT10_time_First Click,RAT10_time_Last Click,RAT10_time_Page Submit,RAT10_time_Click Count,RAT11,RAT11_time_First Click,RAT11_time_Last Click,RAT11_time_Page Submit,RAT11_time_Click Count,RAT12,RAT12_time_First Click,RAT12_time_Last Click,RAT12_time_Page Submit,RAT12_time_Click Count,RAT13,RAT13_time_First Click,RAT13_time_Last Click,RAT13_time_Page Submit,RAT13_time_Click Count,RAT14,RAT14_time_First Click,RAT14_time_Last Click,RAT14_time_Page Submit,RAT14_time_Click Count,RAT15,RAT15_time_First Click,RAT15_time_Last Click,RAT15_time_Page Submit,RAT15_time_Click Count,RAT16,RAT16_time_First Click,RAT16_time_Last Click,RAT16_time_Page Submit,RAT16_time_Click Count,RAT17,RAT17_time_First Click,RAT17_time_Last Click,RAT17_time_Page Submit,RAT17_time_Click Count,RAT18,RAT18_time_First Click,RAT18_time_Last Click,RAT18_time_Page Submit,RAT18_time_Click Count,RAT19,RAT19_time_First Click,RAT19_time_Last Click,RAT19_time_Page Submit,RAT19_time_Click Count,RAT20,RAT20_time_First Click,RAT20_time_Last Click,RAT20_time_Page Submit,RAT20_time_Click Count,age,gender,ethnicity,education,CFI_1,CFI_2,CFI_3,CFI_4,CFI_5,CFI_6,CFI_7,CFI_8,attention_check,CFI_10,CFI_11,CFI_12,CFI_13,CFI_14,CFI_15,CFI_16,CFI_17,CFI_18,CFI_19,CFI_20,distance,overlap,ARIS_1,ARIS_2,ARIS_3,ARIS_4,WCST_timetotal,color,number,shape,
1,1,1,1,1,1,2,85,1,0.932,4.964,6.568,2,1,0.283,1.358,6.794,2,1,1.079,1.079,6.78,1,1,2.375,2.375,10.061,1,1,1.147,1.147,10.665,1,1,0.871,0.871,6.837,1,0,0.972,0.972,20.11,1,0,1.352,1.352,11.442,1,0,1.106,1.106,20.108,1,0,1.324,1.324,19.345,1,1,0.882,1.963,6.014,2,0,1.093,1.093,12.286,1,1,0.751,0.751,12.219,1,1,0.919,0.919,11.197,1,0,0.995,0.995,20.008,1,1,1.368,1.368,13.603,1,0,0.869,0.869,12.343,1,1,0.806,0.806,18.313,1,1,0.997,0.997,9.35,1,0,1.109,1.109,20.007,1,22,0,1,2,6,7,7,7,7,7,6,7,1,4,5,7,7,7,5,7,5,7,7,7,4,1,6,6,5,6,12,82.5,77.5,75,
4,1,1,2,1,7,2,92,0,1.84,1.84,20.01,1,0,9.343,15.505,16.101,5,0,1.394,5.945,16.233,2,0,4.301,5.584,20.01,2,1,1.946,1.946,9.741,1,1,1.439,1.439,20.112,1,0,0.701,16.728,17.586,5,0,2.394,3.759,20.008,4,0,3.869,3.869,20.01,1,0,0,0,20.111,0,0,18.563,18.563,20.007,1,0,1.508,2.053,19.921,2,0,1.608,1.608,20.009,1,0,1.916,1.916,20.113,1,0,6.853,6.853,20.007,1,0,1.973,1.973,15.651,1,0,1.365,1.365,17.813,1,0,1.426,1.426,14.056,1,0,2.003,2.003,19.258,1,0,1.398,1.398,7.842,1,33,1,1,1,6,7,7,7,7,7,7,7,1,6,6,7,7,7,4,7,3,7,6,7,67,62,3,3,1,1,11,80,82.5,89.5833333333333,
1,1,1,1,1,1,1,26,1,1.225,1.225,5.675,1,0,3.184,3.184,4.767,1,1,0.314,0.314,3.23,1,1,0.515,0.515,6.077,1,1,0.615,0.615,4.684,1,1,0.593,0.593,3.128,1,0,0.488,0.488,20.112,1,1,1.951,1.951,4.55,1,0,0.693,0.693,20.007,1,0,8.445,8.445,11.309,1,1,1.332,1.332,3.203,1,0,0.828,0.828,18.667,1,1,1.014,1.014,2.77,1,1,0.605,0.605,5.006,1,0,0.503,0.503,16.464,1,1,0.817,0.817,3.477,1,0,0.783,0.783,16.664,1,1,0.656,0.656,13.825,1,1,1.155,1.155,3.771,1,0,0,0,20.107,0,24,1,1,1,5,7,7,7,7,7,6,7,1,7,6,7,7,7,7,6,5,6,6,7,96,98,4,5,5,5,11,77.5,82.5,77.0833333333333,
1,1,1,1,1,1,1,100,0,1.368,1.368,5.019,1,0,0.937,0.937,6.977,1,0,0.872,0.872,4.238,1,1,0.756,0.756,7.43,1,1,0.846,0.846,6.043,1,0,0.794,0.794,3.953,1,0,1.231,1.231,6.639,1,0,1.123,1.123,8.172,1,0,1.148,1.148,7.4,1,0,1.255,1.255,4.401,1,0,0.878,0.878,4.561,1,0,1.016,1.016,12.017,1,0,1.044,1.044,6.555,1,0,0.98,0.98,4.332,1,0,0.985,0.985,5.836,1,1,0.86,0.86,7.069,1,0,1.141,1.141,6.32,1,0,3.018,3.018,7.078,1,0,1.758,1.758,9.209,1,0,1.91,1.91,15.798,1,36,0,1,1,7,6,7,7,7,7,7,7,1,6,6,7,7,7,5,7,7,7,7,7,64,60,1,1,1,1,10,32.5,60,66.6666666666667,
1,1,1,1,1,3,2,30,1,3.053,3.053,5.751,1,1,6.042,6.042,11.087,1,0,0,0,20.019,0,1,1.849,1.849,10.637,1,1,3.628,3.628,6.155,1,0,0,0,20.009,0,0,8.981,8.981,20.112,1,0,1.627,1.627,11.752,1,1,1.358,1.358,10.061,1,0,1.792,1.792,20.006,1,1,4.828,4.828,8.91,1,0,1.501,1.501,14.818,1,1,1.423,1.423,9.02,1,0,1.403,1.403,20.007,1,1,4.993,4.993,12.216,1,0,1.399,1.399,19.458,1,1,1.651,1.651,17.956,1,0,1.645,1.645,20.116,1,1,2.298,2.298,10.76,1,0,1.864,1.864,20.115,1,44,1,1,3,6,6,7,5,7,7,5,6,1,1,5,7,7,7,6,7,5,7,6,7,58,52,4,4,3,1,13,65,80,68.75,
1,1,1,1,1,1,1,54,0,1.388,1.388,20.116,1,0,2.057,2.057,7.215,1,0,1.065,1.065,20.111,1,0,1.614,1.614,20.111,1,1,1.549,1.549,5.78,1,0,1.612,1.612,20.011,1,0,1.475,1.475,20.008,1,1,1.725,1.725,7.299,1,1,1.142,1.142,5.777,1,0,0.952,0.952,11.128,1,0,1.164,1.164,20.007,1,0,1.136,1.136,20.009,1,1,1.424,1.424,9.038,1,1,0.901,0.901,15.376,1,1,3.41,3.41,7.856,1,0,3.204,3.204,20.009,1,0,2.829,2.829,20.007,1,0,1.463,1.463,20.008,1,1,1.744,1.744,5.03,1,0,1.331,1.331,20.109,1,24,1,1,2,6,6,7,5,7,7,5,7,1,4,5,7,7,7,5,7,5,7,6,7,-80,0,1,1,1,1,11,85,85,87.5,
1,1,1,1,1,1,2,83,1,0.844,0.844,9.346,1,1,1.409,1.409,4.959,1,1,0.864,0.864,3.982,1,1,0.841,0.841,5.134,1,1,1.616,1.616,5.936,1,0,1.326,1.326,20.113,1,0,3.546,3.546,10.079,1,0,0.743,0.743,20.007,1,1,1.562,14.89,18.145,2,1,0.703,15.334,15.588,3,1,0.692,13.333,13.642,3,1,0.585,9.537,11.305,2,1,0.517,0.517,4.572,1,1,0.51,6.654,8.645,2,1,0.36,0.36,9.286,1,1,0.47,0.47,7.851,1,1,0.553,9.793,11.846,2,0,0.435,0.435,7.632,1,1,0.434,0.434,4.607,1,1,0.689,0.689,3.238,1,30,1,1,1,6,6,7,3,7,7,2,7,1,5,3,7,7,7,6,7,5,7,7,7,50,42,5,6,6,7,11,85,87.5,77.0833333333333,
3,1,1,1,2,1,1,25,1,1.451,4.292,4.9,2,0,1.07,1.07,9.187,1,1,1.11,1.11,5.566,1,1,1.168,1.168,5.754,1,1,1.299,1.299,7.923,1,1,1.412,6.104,9.659,2,0,0.785,0.785,20.007,1,1,1.404,1.404,7.162,1,1,1.394,1.394,4.816,1,1,0.953,0.953,10.312,1,1,1.031,1.031,6.204,1,0,0.995,0.995,20.119,1,1,3.056,3.056,7.05,1,1,0.78,0.78,17.096,1,0,0.915,0.915,20.13,1,1,1.757,1.757,10.6,1,0,1.063,1.063,20.108,1,0,15.581,20.01,20.107,2,0,0,0,0.233,0,1,1.108,1.108,7.471,1,59,1,1,1,6,6,7,6,7,7,5,7,1,4,4,7,6,7,5,7,5,7,7,7,62,57,4,4,4,6,13,80,80,75,
1,1,1,1,1,1,1,90,1,1.203,1.203,3.567,1,1,1.115,1.115,3.101,1,1,0.969,0.969,3.441,1,1,0.938,0.938,2.682,1,1,1.059,1.059,3.25,1,1,1.411,1.411,5.206,1,0,1.466,1.466,19.046,1,1,1.141,1.141,3.588,1,1,2.079,2.079,7.446,1,1,1.542,1.542,7.374,1,1,1.754,1.754,5.928,1,1,1.002,1.002,3.184,1,1,1.035,1.035,3.056,1,1,1.05,1.05,8.285,1,1,1.101,1.101,6.862,1,0,1.584,8.027,20.115,2,0,1.458,8.782,17.591,3,1,1.049,1.049,4.58,1,1,0.903,0.903,3.361,1,0,1.82,19.277,20.007,3,33,1,1,1,6,6,7,5,7,7,5,7,1,6,6,7,7,7,5,7,5,7,7,7,10,4,1,1,1,1,,87.5,90,85.4166666666667,
4,1,1,1,1,4,1,70,1,2.515,2.515,5.728,1,0,1.998,1.998,6.086,1,1,1.472,1.472,4.973,1,1,1.663,1.663,5.8,1,1,1.452,1.452,5.843,1,0,1.579,1.579,20.01,1,0,8.801,8.801,13.038,1,1,2.286,2.286,4.909,1,1,1.423,1.423,7.038,1,0,1.294,1.294,20.11,1,1,5.176,5.176,8.567,1,0,0,0,20.013,0,0,10.847,10.847,20.112,1,0,2.954,2.954,20.113,1,1,6.779,6.779,9.768,1,1,1.411,1.411,7.22,1,0,1.387,1.387,20.111,1,1,13.626,13.626,17.112,1,1,1.109,1.109,4.168,1,1,1.347,1.347,8.866,1,36,1,1,2,5,6,7,4,7,7,4,7,1,4,4,7,6,6,5,7,4,7,7,7,37,28,1,4,4,2,12,90,87.5,85.4166666666667,
